Year,Location,Death_Rate,,,,Location,Death_Rate
2016,Ohio,32.9,,,,Ohio,9.59
2015,Ohio,24.7,,,,Massachusetts,11.11
2014,Ohio,19.1,,,,New York,5.79
2013,Ohio,14.6,,,,,
2012,Ohio,12.3,,,,,
2011,Ohio,11.2,,,,,
2010,Ohio,10,,,,,
2008,Ohio,7.2,,,,,
2007,Ohio,6.2,,,,,
2009,Ohio,5.9,,,,,
2006,Ohio,5.6,,,,,
2005,Ohio,4.9,,,,,
2004,Ohio,4.5,,,,,
2002,Ohio,3.7,,,,,
2003,Ohio,3.2,,,,,
2001,Ohio,3,,,,,
2000,Ohio,2.2,,,,,
1999,Ohio,1.5,,,,,
,,,,,,,
2016,Massachusetts,29.7,,,,,
2015,Massachusetts,23.3,,,,,
2014,Massachusetts,17,,,,,
2013,Massachusetts,13.3,,,,,
2012,Massachusetts,10.4,,,,,
2006,Massachusetts,10.1,,,,,
2011,Massachusetts,9.9,,,,,
2007,Massachusetts,9.9,,,,,
2009,Massachusetts,9.4,,,,,
2008,Massachusetts,9.1,,,,,
2003,Massachusetts,9,,,,,
2005,Massachusetts,8.6,,,,,
2010,Massachusetts,8.3,,,,,
2001,Massachusetts,7.6,,,,,
2002,Massachusetts,7.4,,,,,
2004,Massachusetts,7.1,,,,,
1999,Massachusetts,5,,,,,
2000,Massachusetts,4.8,,,,,
,,,,,,,
2016,New York,15.1,,,,,
2015,New York,10.8,,,,,
2014,New York,8.6,,,,,
2013,New York,8.3,,,,,
2012,New York,7.6,,,,,
2011,New York,6.8,,,,,
2008,New York,5.6,,,,,
2010,New York,5.4,,,,,
2009,New York,5.4,,,,,
2007,New York,5.2,,,,,
2006,New York,5.2,,,,,
1999,New York,3.2,,,,,
2001,New York,3.2,,,,,
2003,New York,3,,,,,
2002,New York,2.9,,,,,
2005,New York,2.9,,,,,
2000,New York,2.6,,,,,
2004,New York,2.4,,,,,
