Year,Age Group,Male death rates,Male death cases,Male population,Female death rates,Female death cases,Female population
2003,0 to 14,0.1,1,1175734,0.2,2,1126182
2003,15 to 24,2.1,18,846114,0.4,3,806988
2003,25 to 44,6.5,124,1895855,2.9,54,1877604
2003,45 to 64,5.7,83,1464383,3.6,54,1503808
2003,65+,0.7,5,668086,1.3,11,879004
2003,All ages,3.8,231,6050172,2,124,6193586
2004,0 to 14,0,0,1169930,0,0,1119565
2004,15 to 24,2.4,21,862015,0.7,6,822367
2004,25 to 44,6.1,115,1889899,2.4,45,1875391
2004,45 to 64,5.3,80,1516195,3.5,55,1554578
2004,65+,0.1,1,682483,1,9,897645
2004,All ages,3.5,217,6120522,1.8,115,6269546
2005,0 to 14,0,0,1161436,0,0,1109781
2005,15 to 24,1.9,17,879024,1.1,9,839002
2005,25 to 44,7.3,138,1880377,3.6,68,1871111
2005,45 to 64,6.5,102,1570905,4.2,67,1605772
2005,65+,1,7,696325,1.9,17,914257
2005,All ages,4.3,264,6188067,2.5,161,6339923
2006,0 to 14,0,0,1154924,0,0,1100599
2006,15 to 24,2.1,19,893085,1.1,9,853058
2006,25 to 44,6.8,127,1862721,2.7,51,1862360
2006,45 to 64,7.6,124,1626764,4.6,77,1658953
2006,65+,1.1,8,714278,0.7,7,934824
2006,All ages,4.4,278,6251772,2.2,144,6409794
2007,0 to 14,0,0,1148118,0,0,1091633
2007,15 to 24,2.7,24,895236,0.3,3,862624
2007,25 to 44,7.9,146,1836848,3.6,67,1851457
2007,45 to 64,6.9,115,1678315,4.8,83,1712496
2007,65+,1.4,10,733660,1.2,11,953808
2007,All ages,4.7,295,6292177,2.5,164,6472018
2008,0 to 14,0.1,1,1144469,0,0,1086899
2008,15 to 24,3.1,28,896895,1.1,10,869918
2008,25 to 44,7.7,139,1811915,3.3,61,1841342
2008,45 to 64,7,122,1731478,6,106,1766732
2008,65+,0.9,7,756747,0.7,7,976230
2008,All ages,4.7,297,6341504,2.8,184,6541121
2009,0 to 14,0.1,1,1140838,0,0,1081939
2009,15 to 24,2.4,22,901614,0.9,8,876893
2009,25 to 44,8.9,159,1785593,3.9,71,1830112
2009,45 to 64,7.9,140,1781447,5.4,99,1818762
2009,65+,1.2,9,780413,0.6,6,1000076
2009,All ages,5.2,331,6389905,2.8,184,6607782
2010,0 to 14,0,0,1135901,0.1,1,1077805
2010,15 to 24,3.2,29,912939,1.1,10,886479
2010,25 to 44,9.9,176,1770681,4.2,76,1825477
2010,45 to 64,7.2,132,1828366,5.9,110,1867561
2010,65+,1.2,10,804896,1.3,13,1024958
2010,All ages,5.4,347,6452783,3.1,210,6682280
2011,0 to 14,0,0,1131974,0,0,1074050
2011,15 to 24,3.1,29,923765,0.7,6,894301
2011,25 to 44,9.2,163,1763637,3.8,69,1828249
2011,45 to 64,7.8,145,1860681,6.5,124,1899795
2011,65+,1.2,10,833523,0.9,10,1053569
2011,All ages,5.3,347,6513580,3.1,209,6749964
2012,0 to 14,0.1,1,1127024,0,0,1069877
2012,15 to 24,4.5,42,933989,1.9,17,898628
2012,25 to 44,9.5,168,1777485,3.4,62,1840125
2012,45 to 64,9.5,178,1876506,5.3,101,1915966
2012,65+,0.3,3,876390,1.2,13,1097712
2012,All ages,5.9,392,6591394,2.8,193,6822308
2013,0 to 14,0,0,1125472,0,0,1068753
2013,15 to 24,3.9,37,939518,1.2,11,900434
2013,25 to 44,11.3,202,1785280,4.4,81,1851719
2013,45 to 64,9.1,173,1890981,5.5,107,1933031
2013,65+,1.7,16,918842,1.1,12,1142199
2013,All ages,6.4,428,6660093,3.1,211,6896136
2014,0 to 14,0,0,1126031,0.1,1,1069255
2014,15 to 24,4.4,41,940047,1.7,15,897431
2014,25 to 44,12.3,221,1794949,4.9,91,1863216
2014,45 to 64,9,172,1904993,5.6,110,1949583
2014,65+,1.3,12,957063,0.5,6,1182603
2014,All ages,6.6,446,6723083,3.2,226,6962088
2015,0 to 14,0,0,1127310,0.1,1,1071309
2015,15 to 24,5.7,53,935539,2.1,19,888140
2015,25 to 44,12.8,231,1804860,3.9,73,1875498
2015,45 to 64,9,173,1916877,7.2,141,1963438
2015,65+,1.5,15,993071,1.6,19,1220996
2015,All ages,7,475,6777657,3.6,253,7019381
2016,0 to 14,0.1,1,1137823,0.1,1,1081736
2016,15 to 24,5.1,48,938983,2.5,22,887864
2016,25 to 44,15.2,279,1834780,5.3,101,1902410
2016,45 to 64,12.4,240,1930069,6.4,127,1979511
2016,65+,2.6,27,1029975,1.7,21,1259833
2016,All ages,8.7,595,6871630,3.8,272,7111354
